Sat.A1ModJulian           Sat.UTCModJulian          Sat.X                     Sat.Y                     Sat.Z                     Sat.VX                    Sat.VY                    Sat.VZ                    
30311.03237308312         30311.03194444444         -6918.360665528446        -218.3833247823272        1482.665612482019         -1.590589220508208        1.047529565941376         -7.257436015723248        
30311.03306752757         30311.03263888889         -6999.727903389759        -155.1320387394665        1044.505044690058         -1.120728943337805        1.060135418429015         -7.342975442496173        
30311.03376197201         30311.03333333333         -7052.756598168291        -91.25288936300288        602.1046446908088         -0.6462923136556757       1.068451114426761         -7.398714715888381        
30311.03445641646         30311.03402777778         -7077.230162410196        -27.00441142408299        157.2600105595456         -0.169215155217828        1.072442083172066         -7.424421562544889        
30311.0351508609          30311.03472222222         -7073.048560392016        37.35331851189129         -288.2230606596734        0.3085547130884399        1.072091547043502         -7.419988491464548        
30311.03584530534         30311.03541666667         -7040.228768634654        101.5597563492869         -732.5360880857706        0.7850661765790612        1.067400718567331         -7.385433588001646        
30311.03653974979         30311.03611111111         -6978.904708938582        165.3549716441975         -1173.875441904866        1.258373620849357         1.058388833428358         -7.320900372229078        
30311.03723419423         30311.03680555556         -6889.326661724331        228.4807268643922         -1610.449846027053        1.726545427326321         1.04509306725166          -7.226656932340954        
30311.03792863867         30311.0375                -6771.860177702271        290.6815499799027         -2040.487816333041        2.187672253265427         1.027568401617404         -7.103094677706041        
30311.03862308312         30311.03819444445         -6626.984490537231        351.7057971567383         -2462.245012405902        2.639875425734087         1.005887416160679         -6.950726650772954        
30311.03931752756         30311.03888888889         -6455.290421560659        411.306698661828          -2874.011465173993        3.081315430609295         0.9801399245700694        -6.770185019231304        
30311.04001197201         30311.03958333334         -6257.477783093683        469.2433773426457         -3274.118624857462        3.510200050934612         0.9504324293968189        -6.562217614794987        
30311.04070641645         30311.04027777778         -6034.352313908885        525.2818306496318         -3660.946180176348        3.924791801278007         0.9168874694763065        -6.327683847611246        
30311.0414008609          30311.04097222222         -5786.822188242802        579.1958727580935         -4032.928624177911        4.32341475659407          0.8796429542635269        -6.0675503873907          
30311.04209530534         30311.04166666667         -5515.894125535993        630.7680373188847         -4388.561555889484        4.704461071148049         0.8388515160197292        -5.782886652104557        
30311.04278974979         30311.04236111111         -5222.669115897645        679.790441311342          -4726.407700626227        5.06639725192727          0.7946798555998045        -5.474859911773246        
30311.04348419423         30311.04305555555         -4908.337780685289        726.0656087915697         -5045.102623146062        5.407770017718562         0.7473080572442202        -5.144729961972711        
30311.04417863868         30311.04375               -4574.175396533948        769.407252233999          -5343.360112383417        5.727211665507896         0.6969288566793973        -4.793843535775952        
30311.04487308312         30311.04444444444         -4221.536609269002        809.641007746325          -5619.977226373987        6.023445069498182         0.6437468276999596        -4.423628565104448        
30311.04556752757         30311.04513888889         -3851.849855848092        846.6051179630341         -5873.838986313594        6.295288415956989         0.5879774479381928        -4.035588197038606        
30311.04626197201         30311.04583333333         -3466.611512077357        880.1510555291741         -6103.922700725641        6.541659579773422         0.5298460635962721        -3.63129443700709         
30311.04695641645         30311.04652777778         -3067.379793046017        910.1440837969401         -6309.301897337753        6.761579965935055         0.4695868519685602        -3.212381448423735        
30311.0476508609          30311.04722222222         -2655.768441487282        936.463757915031          -6489.149846298103        6.954177734135117         0.4074418831272432        -2.78053865848465         
30311.04834530534         30311.04791666667         -2233.440240893498        959.004373078796          -6642.742667817565        7.118690422117068         0.3436602881335622        -2.337503824102017        
30311.04903974979         30311.04861111111         -1802.100387921058        977.6753638840614         -6769.462026292235        7.254467028119953         0.278497441146334         -1.885056207731211        
30311.04973419423         30311.04930555556         -1363.489752504168        992.4016522726847         -6868.797421615914        7.36096970858115          0.2122140507251284        -1.425009985011443        
30311.05042863867         30311.05                  -919.3780415196964        1003.123937214567         -6940.34809094858         7.437775332347629         0.1450751292405822        -0.9592078174344794       
30311.05112308312         30311.05069444445         -471.5568705853248        1009.798920127627         -6983.824522391088        7.484576973200863         0.07734889593105312       -0.4895142842700035       
30311.05181752756         30311.05138888889         -21.83275421394695        1012.399464903694         -6999.049563782426        7.501185071189863         0.00930571034513202       -0.017808949300392        
30311.05251197201         30311.05208333333         427.9799544345602         1010.914696905258         -6985.959109108735        7.487527918478634         -0.05878288759460296      0.454020707494255         
30311.05320641645         30311.05277777778         876.0661337816128         1005.350047824708         -6944.602369675843        7.443651575630792         -0.12664503048825         0.9240859917082627        
30311.0539008609          30311.05347222222         1320.616956050475         995.7272504048386         -6875.141758439929        7.369719791696909         -0.19400936371131         1.390503235719983         
30311.05459530534         30311.05416666666         1759.836955169347         982.0842797920075         -6777.852399627756        7.266014267695791         -0.26060600228465         1.851400184793606         
